T | 1 | a1
T | 0 | aaa /by
T | 0 | CS2100 lab
T | 0 | a1
T | 0 | aaa
D | 0 | aa | 2023-06-29T07:00
D | 0 | aa | 2023-06-29T06:00
D | 0 | aa | 2023-06-29T21:00
D | 0 | aa | 2023-06-29T06:00
D | 0 | aa | 2023-06-29T06:30
D | 0 | aa | 2023-06-29T01:49
D | 0 | aa | 2023-06-29T15:00
D | 0 | aa | 2023-06-29T10:30
D | 0 | aa | 2023-06-29T10:00
D | 0 | aa | 2023-06-30T15:00
D | 0 | aa | 2023-06-29T22:30
D | 0 | aa | 2023-06-29T06:30
D | 0 | aa | 2023-06-29T16:30
D | 0 | aa | 2023-06-29T10:30
D | 0 | aa | 2023-06-29T15:00
D | 0 | aa | 2023-06-29T15:00
D | 0 | aa | 2023-06-29T06:30
D | 0 | aa | 2023-06-29T16:30
D | 0 | aa | 2023-06-29T07:30
D | 0 | aa | 2023-06-29T10:30
D | 0 | aa | 2023-06-29T22:30
D | 0 | aa | 2023-06-29T15:00
D | 0 | aa | 2023-06-29T10:00
D | 0 | aa | 2023-06-29T01:00
D | 0 | aa | 2023-06-29T01:00
D | 0 | aa | 2023-06-29T16:30
D | 0 | aa | 2023-06-29T04:30
D | 0 | aa | 2023-06-29T16:30
D | 0 | aa | 2023-06-29T12:00
D | 0 | aa | 2023-06-29T12:30
D | 0 | aa | 2023-06-29T16:30
D | 0 | aa | 2023-06-29T04:30
D | 0 | aa | 2023-06-29T19:39
D | 0 | aa | 2023-06-29T16:30
D | 0 | aa | 2023-06-29T04:30
D | 0 | aa | 2023-06-29T18:30
D | 0 | aa | 2023-06-29T06:30
